state,significant,change
AL,No,3.3
AK,No,-4.8
AZ,No,4.4
AR,No,9.5
CA,No,1.8
CO,No,-5.5
CT,Yes,25.6
DE,No,5.3
DC,No,31.0
FL,Yes,22.7
GA,No,6.7
HI,No,3.7
ID,No,3.6
IL,Yes,7.6
IN,No,7.1
IA,No,17.0
KS,No,0.9
KY,Yes,21.1
LA,Yes,12.4
ME,Yes,26.2
MD,Yes,20.1
MA,Yes,35.3
MI,Yes,13.3
MN,No,10.4
MS,No,6.0
MO,No,-1.6
MT,No,11.3
NE,No,-4.2
NV,No,10.9
NH,Yes,30.9
NJ,Yes,16.4
NM,No,-7.3
NY,Yes,20.4
NC,Yes,14.5
ND,No,36.5
OH,Yes,21.5
OK,No,-6.4
OR,No,-6.3
PA,Yes,20.1
RI,Yes,20.5
SC,No,9.0
SD,No,7.7
TN,Yes,13.8
TX,No,-3.1
UT,No,4.5
VT,No,20.1
VA,No,6.0
WA,Yes,10.5
WV,Yes,16.9
WI,No,2.6
WY,No,-15.5
