STATE,FATALS_x,FATALS_y,percent_change
1,820,849,0.0353658536585
2,73,65,-0.109589041096
4,773,893,0.155239327296
5,470,531,0.129787234043
6,3102,3176,0.0238555770471
8,488,546,0.118852459016
9,248,266,0.0725806451613
10,124,126,0.0161290322581
11,23,23,0.0
12,2494,2939,0.178428227747
13,1164,1430,0.22852233677
15,95,94,-0.0105263157895
16,186,216,0.161290322581
17,924,998,0.0800865800866
18,745,821,0.102013422819
19,322,320,-0.00621118012422
20,385,355,-0.0779220779221
21,672,761,0.13244047619
22,740,726,-0.0189189189189
23,131,156,0.190839694656
24,442,513,0.160633484163
25,354,306,-0.135593220339
26,901,963,0.0688124306326
27,361,411,0.138504155125
28,607,677,0.115321252059
29,766,869,0.134464751958
30,192,224,0.166666666667
31,225,246,0.0933333333333
32,291,325,0.116838487973
33,95,114,0.2
34,556,562,0.0107913669065
35,386,298,-0.227979274611
36,1041,1121,0.0768491834774
37,1284,1379,0.0739875389408
38,135,131,-0.0296296296296
39,1006,1110,0.10337972167
40,669,643,-0.0388639760837
41,357,447,0.252100840336
42,1195,1200,0.00418410041841
44,51,45,-0.117647058824
45,823,977,0.187120291616
46,136,133,-0.0220588235294
47,963,958,-0.00519210799585
48,3536,3516,-0.00565610859729
49,256,276,0.078125
50,44,57,0.295454545455
51,703,753,0.0711237553343
53,462,568,0.229437229437
54,272,268,-0.0147058823529
55,506,566,0.118577075099
56,149,145,-0.0268456375839
